Common Name,Scientific Name,Family,Color,Origin,Height (cm),Blooming Season,Watering Needs,Sunlight Needs,Price ($),Quantity,Days to Germination,Average Lifespan (years),pH Range
Rose,Rosa spp.,Rosaceae,Red,Europe,50,Spring-Summer,Regular,Full Sun,5.99,100,14,5,6-7
Tulip,Tulipa spp.,Liliaceae,Various,Asia,30,Spring,Regular,Full Sun,3.49,150,10,3,6-7
Daisy,Bellis perennis,Asteraceae,White,Europe,20,Spring-Summer,Regular,Full Sun,2.99,200,7,2,6-7
Sunflower,Helianthus annuus,Asteraceae,Yellow,North America,200,Summer,Regular,Full Sun,4.99,80,10,1,6-7
Lavender,Lavandula angustifolia,Lamiaceae,Purple,Europe,60,Summer,Regular,Full Sun,6.99,120,20,5,6.5-7.5
Rose,Rosa spp.,Rosaceae,Red,Europe,50,Spring-Summer,Regular,Full Sun,5.99,100,14,5,6-7
Tulip,Tulipa spp.,Liliaceae,Various,Asia,30,Spring,Regular,Full Sun,3.49,150,10,3,6-7
Daisy,Bellis perennis,Asteraceae,White,Europe,20,Spring-Summer,Regular,Full Sun,2.99,200,7,2,6-7
Sunflower,Helianthus annuus,Asteraceae,Yellow,North America,200,Summer,Regular,Full Sun,4.99,80,10,1,6-7
Lavender,Lavandula angustifolia,Lamiaceae,Purple,Europe,60,Summer,Regular,Full Sun,6.99,120,20,5,6.5-7.5
Rose,Rosa spp.,Rosaceae,Red,Europe,50,Spring-Summer,Regular,Full Sun,5.99,100,14,5,6-7
Tulip,Tulipa spp.,Liliaceae,Various,Asia,30,Spring,Regular,Full Sun,3.49,150,10,3,6-7
Daisy,Bellis perennis,Asteraceae,White,Europe,20,Spring-Summer,Regular,Full Sun,2.99,200,7,2,6-7
Sunflower,Helianthus annuus,Asteraceae,Yellow,North America,200,Summer,Regular,Full Sun,4.99,80,10,1,6-7
Lavender,Lavandula angustifolia,Lamiaceae,Purple,Europe,60,Summer,Regular,Full Sun,6.99,120,20,5,6.5-7.5
Rose,Rosa spp.,Rosaceae,Red,Europe,50,Spring-Summer,Regular,Full Sun,5.99,100,14,5,6-7
Tulip,Tulipa spp.,Liliaceae,Various,Asia,30,Spring,Regular,Full Sun,3.49,150,10,3,6-7
Daisy,Bellis perennis,Asteraceae,White,Europe,20,Spring-Summer,Regular,Full Sun,2.99,200,7,2,6-7
Sunflower,Helianthus annuus,Asteraceae,Yellow,North America,200,Summer,Regular,Full Sun,4.99,80,10,1,6-7
Lavender,Lavandula angustifolia,Lamiaceae,Purple,Europe,60,Summer,Regular,Full Sun,6.99,120,20,5,6.5-7.5
Rose,Rosa spp.,Rosaceae,Red,Europe,50,Spring-Summer,Regular,Full Sun,5.99,100,14,5,6-7
Tulip,Tulipa spp.,Liliaceae,Various,Asia,30,Spring,Regular,Full Sun,3.49,150,10,3,6-7
Daisy,Bellis perennis,Asteraceae,White,Europe,20,Spring-Summer,Regular,Full Sun,2.99,200,7,2,6-7
Sunflower,Helianthus annuus,Asteraceae,Yellow,North America,200,Summer,Regular,Full Sun,4.99,80,10,1,6-7
Lavender,Lavandula angustifolia,Lamiaceae,Purple,Europe,60,Summer,Regular,Full Sun,6.99,120,20,5,6.5-7.5
Rose,Rosa spp.,Rosaceae,Red,Europe,50,Spring-Summer,Regular,Full Sun,5.99,100,14,5,6-7
Tulip,Tulipa spp.,Liliaceae,Various,Asia,30,Spring,Regular,Full Sun,3.49,150,10,3,6-7
Daisy,Bellis perennis,Asteraceae,White,Europe,20,Spring-Summer,Regular,Full Sun,2.99,200,7,2,6-7
Sunflower,Helianthus annuus,Asteraceae,Yellow,North America,200,Summer,Regular,Full Sun,4.99,80,10,1,6-7
Lavender,Lavandula angustifolia,Lamiaceae,Purple,Europe,60,Summer,Regular,Full Sun,6.99,120,20,5,6.5-7.5
Rose,Rosa spp.,Rosaceae,Red,Europe,50,Spring-Summer,Regular,Full Sun,5.99,100,14,5,6-7
Tulip,Tulipa spp.,Liliaceae,Various,Asia,30,Spring,Regular,Full Sun,3.49,150,10,3,6-7
Daisy,Bellis perennis,Asteraceae,White,Europe,20,Spring-Summer,Regular,Full Sun,2.99,200,7,2,6-7
Sunflower,Helianthus annuus,Asteraceae,Yellow,North America,200,Summer,Regular,Full Sun,4.99,80,10,1,6-7
Lavender,Lavandula angustifolia,Lamiaceae,Purple,Europe,60,Summer,Regular,Full Sun,6.99,120,20,5,6.5-7.5
Rose,Rosa spp.,Rosaceae,Red,Europe,50,Spring-Summer,Regular,Full Sun,5.99,100,14,5,6-7
Tulip,Tulipa spp.,Liliaceae,Various,Asia,30,Spring,Regular,Full Sun,3.49,150,10,3,6-7
Daisy,Bellis perennis,Asteraceae,White,Europe,20,Spring-Summer,Regular,Full Sun,2.99,200,7,2,6-7
Sunflower,Helianthus annuus,Asteraceae,Yellow,North America,200,Summer,Regular,Full Sun,4.99,80,10,1,6-7
Lavender,Lavandula angustifolia,Lamiaceae,Purple,Europe,60,Summer,Regular,Full Sun,6.99,120,20,5,6.5-7.5
Rose,Rosa spp.,Rosaceae,Red,Europe,50,Spring-Summer,Regular,Full Sun,5.99,100,14,5,6-7
Tulip,Tulipa spp.,Liliaceae,Various,Asia,30,Spring,Regular,Full Sun,3.49,150,10,3,6-7
Daisy,Bellis perennis,Asteraceae,White,Europe,20,Spring-Summer,Regular,Full Sun,2.99,200,7,2,6-7
Sunflower,Helianthus annuus,Asteraceae,Yellow,North America,200,Summer,Regular,Full Sun,4.99,80,10,1,6-7
Lavender,Lavandula angustifolia,Lamiaceae,Purple,Europe,60,Summer,Regular,Full Sun,6.99,120,20,5,6.5-7.5
Rose,Rosa spp.,Rosaceae,Red,Europe,50,Spring-Summer,Regular,Full Sun,5.99,100,14,5,6-7
Tulip,Tulipa spp.,Liliaceae,Various,Asia,30,Spring,Regular,Full Sun,3.49,150,10,3,6-7
Daisy,Bellis perennis,Asteraceae,White,Europe,20,Spring-Summer,Regular,Full Sun,2.99,200,7,2,6-7
Sunflower,Helianthus annuus,Asteraceae,Yellow,North America,200,Summer,Regular,Full Sun,4.99,80,10,1,6-7
Lavender,Lavandula angustifolia,Lamiaceae,Purple,Europe,60,Summer,Regular,Full Sun,6.99,120,20,5,6.5-7.5
Rose,Rosa spp.,Rosaceae,Red,Europe,50,Spring-Summer,Regular,Full Sun,5.99,100,14,5,6-7
Tulip,Tulipa spp.,Liliaceae,Various,Asia,30,Spring,Regular,Full Sun,3.49,150,10,3,6-7
Daisy,Bellis perennis,Asteraceae,White,Europe,20,Spring-Summer,Regular,Full Sun,2.99,200,7,2,6-7
Sunflower,Helianthus annuus,Asteraceae,Yellow,North America,200,Summer,Regular,Full Sun,4.99,80,10,1,6-7
Lavender,Lavandula angustifolia,Lamiaceae,Purple,Europe,60,Summer,Regular,Full Sun,6.99,120,20,5,6.5-7.5
Rose,Rosa spp.,Rosaceae,Red,Europe,50,Spring-Summer,Regular,Full Sun,5.99,100,14,5,6-7
Tulip,Tulipa spp.,Liliaceae,Various,Asia,30,Spring,Regular,Full Sun,3.49,150,10,3,6-7
Daisy,Bellis perennis,Asteraceae,White,Europe,20,Spring-Summer,Regular,Full Sun,2.99,200,7,2,6-7
Sunflower,Helianthus annuus,Asteraceae,Yellow,North America,200,Summer,Regular,Full Sun,4.99,80,10,1,6-7
Lavender,Lavandula angustifolia,Lamiaceae,Purple,Europe,60,Summer,Regular,Full Sun,6.99,120,20,5,6.5-7.5
Rose,Rosa spp.,Rosaceae,Red,Europe,50,Spring-Summer,Regular,Full Sun,5.99,100,14,5,6-7
Tulip,Tulipa spp.,Liliaceae,Various,Asia,30,Spring,Regular,Full Sun,3.49,150,10,3,6-7
Daisy,Bellis perennis,Asteraceae,White,Europe,20,Spring-Summer,Regular,Full Sun,2.99,200,7,2,6-7
Sunflower,Helianthus annuus,Asteraceae,Yellow,North America,200,Summer,Regular,Full Sun,4.99,80,10,1,6-7
Lavender,Lavandula angustifolia,Lamiaceae,Purple,Europe,60,Summer,Regular,Full Sun,6.99,120,20,5,6.5-7.5
Rose,Rosa spp.,Rosaceae,Red,Europe,50,Spring-Summer,Regular,Full Sun,5.99,100,14,5,6-7
Tulip,Tulipa spp.,Liliaceae,Various,Asia,30,Spring,Regular,Full Sun,3.49,150,10,3,6-7
Daisy,Bellis perennis,Asteraceae,White,Europe,20,Spring-Summer,Regular,Full Sun,2.99,200,7,2,6-7
Sunflower,Helianthus annuus,Asteraceae,Yellow,North America,200,Summer,Regular,Full Sun,4.99,80,10,1,6-7
Lavender,Lavandula angustifolia,Lamiaceae,Purple,Europe,60,Summer,Regular,Full Sun,6.99,120,20,5,6.5-7.5
Rose,Rosa spp.,Rosaceae,Red,Europe,50,Spring-Summer,Regular,Full Sun,5.99,100,14,5,6-7
Tulip,Tulipa spp.,Liliaceae,Various,Asia,30,Spring,Regular,Full Sun,3.49,150,10,3,6-7
Daisy,Bellis perennis,Asteraceae,White,Europe,20,Spring-Summer,Regular,Full Sun,2.99,200,7,2,6-7
Sunflower,Helianthus annuus,Asteraceae,Yellow,North America,200,Summer,Regular,Full Sun,4.99,80,10,1,6-7
Lavender,Lavandula angustifolia,Lamiaceae,Purple,Europe,60,Summer,Regular,Full Sun,6.99,120,20,5,6.5-7.5
Rose,Rosa spp.,Rosaceae,Red,Europe,50,Spring-Summer,Regular,Full Sun,5.99,100,14,5,6-7
Tulip,Tulipa spp.,Liliaceae,Various,Asia,30,Spring,Regular,Full Sun,3.49,150,10,3,6-7
Daisy,Bellis perennis,Asteraceae,White,Europe,20,Spring-Summer,Regular,Full Sun,2.99,200,7,2,6-7
Sunflower,Helianthus annuus,Asteraceae,Yellow,North America,200,Summer,Regular,Full Sun,4.99,80,10,1,6-7
Lavender,Lavandula angustifolia,Lamiaceae,Purple,Europe,60,Summer,Regular,Full Sun,6.99,120,20,5,6.5-7.5
Rose,Rosa spp.,Rosaceae,Red,Europe,50,Spring-Summer,Regular,Full Sun,5.99,100,14,5,6-7
Tulip,Tulipa spp.,Liliaceae,Various,Asia,30,Spring,Regular,Full Sun,3.49,150,10,3,6-7
Daisy,Bellis perennis,Asteraceae,White,Europe,20,Spring-Summer,Regular,Full Sun,2.99,200,7,2,6-7
Sunflower,Helianthus annuus,Asteraceae,Yellow,North America,200,Summer,Regular,Full Sun,4.99,80,10,1,6-7
Lavender,Lavandula angustifolia,Lamiaceae,Purple,Europe,60,Summer,Regular,Full Sun,6.99,120,20,5,6.5-7.5
Rose,Rosa spp.,Rosaceae,Red,Europe,50,Spring-Summer,Regular,Full Sun,5.99,100,14,5,6-7
Tulip,Tulipa spp.,Liliaceae,Various,Asia,30,Spring,Regular,Full Sun,3.49,150,10,3,6-7
Daisy,Bellis perennis,Asteraceae,White,Europe,20,Spring-Summer,Regular,Full Sun,2.99,200,7,2,6-7
Sunflower,Helianthus annuus,Asteraceae,Yellow,North America,200,Summer,Regular,Full Sun,4.99,80,10,1,6-7
Lavender,Lavandula angustifolia,Lamiaceae,Purple,Europe,60,Summer,Regular,Full Sun,6.99,120,20,5,6.5-7.5
Rose,Rosa spp.,Rosaceae,Red,Europe,50,Spring-Summer,Regular,Full Sun,5.99,100,14,5,6-7
Tulip,Tulipa spp.,Liliaceae,Various,Asia,30,Spring,Regular,Full Sun,3.49,150,10,3,6-7
Daisy,Bellis perennis,Asteraceae,White,Europe,20,Spring-Summer,Regular,Full Sun,2.99,200,7,2,6-7
Sunflower,Helianthus annuus,Asteraceae,Yellow,North America,200,Summer,Regular,Full Sun,4.99,80,10,1,6-7
Lavender,Lavandula angustifolia,Lamiaceae,Purple,Europe,60,Summer,Regular,Full Sun,6.99,120,20,5,6.5-7.5
Rose,Rosa spp.,Rosaceae,Red,Europe,50,Spring-Summer,Regular,Full Sun,5.99,100,14,5,6-7
Tulip,Tulipa spp.,Liliaceae,Various,Asia,30,Spring,Regular,Full Sun,3.49,150,10,3,6-7
Daisy,Bellis perennis,Asteraceae,White,Europe,20,Spring-Summer,Regular,Full Sun,2.99,200,7,2,6-7
Sunflower,Helianthus annuus,Asteraceae,Yellow,North America,200,Summer,Regular,Full Sun,4.99,80,10,1,6-7
Lavender,Lavandula angustifolia,Lamiaceae,Purple,Europe,60,Summer,Regular,Full Sun,6.99,120,20,5,6.5-7.5
Rose,Rosa spp.,Rosaceae,Red,Europe,50,Spring-Summer,Regular,Full Sun,5.99,100,14,5,6-7
Tulip,Tulipa spp.,Liliaceae,Various,Asia,30,Spring,Regular,Full Sun,3.49,150,10,3,6-7
Daisy,Bellis perennis,Asteraceae,White,Europe,20,Spring-Summer,Regular,Full Sun,2.99,200,7,2,6-7
Sunflower,Helianthus annuus,Asteraceae,Yellow,North America,200,Summer,Regular,Full Sun,4.99,80,10,1,6-7
Lavender,Lavandula angustifolia,Lamiaceae,Purple,Europe,60,Summer,Regular,Full Sun,6.99,120,20,5,6.5-7.5
Rose,Rosa spp.,Rosaceae,Red,Europe,50,Spring-Summer,Regular,Full Sun,5.99,100,14,5,6-7
Tulip,Tulipa spp.,Liliaceae,Various,Asia,30,Spring,Regular,Full Sun,3.49,150,10,3,6-7
Daisy,Bellis perennis,Asteraceae,White,Europe,20,Spring-Summer,Regular,Full Sun,2.99,200,7,2,6-7
Sunflower,Helianthus annuus,Asteraceae,Yellow,North America,200,Summer,Regular,Full Sun,4.99,80,10,1,6-7
Lavender,Lavandula angustifolia,Lamiaceae,Purple,Europe,60,Summer,Regular,Full Sun,6.99,120,20,5,6.5-7.5
